site;variable;value;Year;Month;Type;var
187;precip.rrday_20160506;0;2016;5;prec;prec05
617;precip.rrday_20160506;0;2016;5;prec;prec05
657;precip.rrday_20160506;0;2016;5;prec;prec05
853;precip.rrday_20160506;0.00705765764396382;2016;5;prec;prec05
861;precip.rrday_20160506;0;2016;5;prec;prec05
946;precip.rrday_20160506;0;2016;5;prec;prec05
950;precip.rrday_20160506;0;2016;5;prec;prec05
1030;precip.rrday_20160506;0;2016;5;prec;prec05
1032;precip.rrday_20160506;0;2016;5;prec;prec05
1076;precip.rrday_20160506;0;2016;5;prec;prec05
1206;precip.rrday_20160506;0;2016;5;prec;prec05
1367;precip.rrday_20160506;0;2016;5;prec;prec05
2813;precip.rrday_20160506;0;2016;5;prec;prec05
3222;precip.rrday_20160506;0;2016;5;prec;prec05
3225;precip.rrday_20160506;0;2016;5;prec;prec05
3379;precip.rrday_20160506;0;2016;5;prec;prec05
4193;precip.rrday_20160506;0;2016;5;prec;prec05
8560;precip.rrday_20160506;0;2016;5;prec;prec05
9150;precip.rrday_20160506;0;2016;5;prec;prec05
9646;precip.rrday_20160506;0;2016;5;prec;prec05
187;precip.rrday_20160507;0;2016;5;prec;prec05
617;precip.rrday_20160507;0;2016;5;prec;prec05
657;precip.rrday_20160507;0;2016;5;prec;prec05
853;precip.rrday_20160507;0;2016;5;prec;prec05
861;precip.rrday_20160507;0;2016;5;prec;prec05
946;precip.rrday_20160507;0;2016;5;prec;prec05
950;precip.rrday_20160507;0;2016;5;prec;prec05
1030;precip.rrday_20160507;0;2016;5;prec;prec05
1032;precip.rrday_20160507;0;2016;5;prec;prec05
1076;precip.rrday_20160507;0;2016;5;prec;prec05
1206;precip.rrday_20160507;0;2016;5;prec;prec05
1367;precip.rrday_20160507;0;2016;5;prec;prec05
2813;precip.rrday_20160507;0;2016;5;prec;prec05
3222;precip.rrday_20160507;0;2016;5;prec;prec05
3225;precip.rrday_20160507;0;2016;5;prec;prec05
3379;precip.rrday_20160507;0;2016;5;prec;prec05
4193;precip.rrday_20160507;0;2016;5;prec;prec05
8560;precip.rrday_20160507;0;2016;5;prec;prec05
9150;precip.rrday_20160507;0;2016;5;prec;prec05
9646;precip.rrday_20160507;0;2016;5;prec;prec05
187;precip.rrday_20160508;0;2016;5;prec;prec05
617;precip.rrday_20160508;0;2016;5;prec;prec05
657;precip.rrday_20160508;0;2016;5;prec;prec05
853;precip.rrday_20160508;0;2016;5;prec;prec05
861;precip.rrday_20160508;0;2016;5;prec;prec05
946;precip.rrday_20160508;0;2016;5;prec;prec05
950;precip.rrday_20160508;0;2016;5;prec;prec05
1030;precip.rrday_20160508;0;2016;5;prec;prec05
1032;precip.rrday_20160508;0;2016;5;prec;prec05
1076;precip.rrday_20160508;0;2016;5;prec;prec05
1206;precip.rrday_20160508;0;2016;5;prec;prec05
1367;precip.rrday_20160508;0;2016;5;prec;prec05
2813;precip.rrday_20160508;0;2016;5;prec;prec05
3222;precip.rrday_20160508;0;2016;5;prec;prec05
3225;precip.rrday_20160508;0;2016;5;prec;prec05
3379;precip.rrday_20160508;0;2016;5;prec;prec05
4193;precip.rrday_20160508;0;2016;5;prec;prec05
8560;precip.rrday_20160508;0;2016;5;prec;prec05
9150;precip.rrday_20160508;0;2016;5;prec;prec05
9646;precip.rrday_20160508;0;2016;5;prec;prec05
187;precip.rrday_20160509;0;2016;5;prec;prec05
617;precip.rrday_20160509;0;2016;5;prec;prec05
657;precip.rrday_20160509;0;2016;5;prec;prec05
853;precip.rrday_20160509;0;2016;5;prec;prec05
861;precip.rrday_20160509;0;2016;5;prec;prec05
946;precip.rrday_20160509;0;2016;5;prec;prec05
950;precip.rrday_20160509;0;2016;5;prec;prec05
1030;precip.rrday_20160509;0;2016;5;prec;prec05
1032;precip.rrday_20160509;0;2016;5;prec;prec05
1076;precip.rrday_20160509;0;2016;5;prec;prec05
1206;precip.rrday_20160509;0;2016;5;prec;prec05
1367;precip.rrday_20160509;0;2016;5;prec;prec05
2813;precip.rrday_20160509;0;2016;5;prec;prec05
3222;precip.rrday_20160509;0;2016;5;prec;prec05
3225;precip.rrday_20160509;0;2016;5;prec;prec05
3379;precip.rrday_20160509;0;2016;5;prec;prec05
4193;precip.rrday_20160509;0;2016;5;prec;prec05
8560;precip.rrday_20160509;0;2016;5;prec;prec05
